Day,Activity,Category,Date,Month,Weekday,Start,End
245,"Technical Test ""merge"" and ""grayCode"" [LeetCode](https",LeetCode,2024-11-14,November,Thursday,2024-11-14,2024-11-15
246,🗂️ Task Prioritization Matrix in Python 📊,Others,2024-11-15,November,Friday,2024-11-15,2024-11-16
247,🏥 Medication Reminder System in Flask 💊,GUI,2024-11-16,November,Saturday,2024-11-16,2024-11-17
248,⏱️ Chess Clock Simulation in Python ♟️,Others,2024-11-17,November,Sunday,2024-11-17,2024-11-18
249,🏀 Basketball Tournament Management System in Python 🏆,Others,2024-11-18,November,Monday,2024-11-18,2024-11-19
250,"Technical Test ""subsetsWithDup"" and ""numDecodings"" [LeetCode](https",LeetCode,2024-11-19,November,Tuesday,2024-11-19,2024-11-20
251,🍞 Bakery Management System in Python 🥐,Others,2024-11-20,November,Wednesday,2024-11-20,2024-11-21
252,🎶 Music Melody Generator in Python 🎵,Others,2024-11-21,November,Thursday,2024-11-21,2024-11-22
253,🧠 Stroke Prediction Dataset [Kaggle](https,Data Scientist (Kaggle),2024-11-22,November,Friday,2024-11-22,2024-11-23
254,📝 Note Taking Application in Python 🗒️,Others,2024-11-23,November,Saturday,2024-11-23,2024-11-24
255,🛒 Shopping List Notification System in Python 📬,Others,2024-11-24,November,Sunday,2024-11-24,2024-11-25
256,📚 Study Notification System in Python ⏰,Others,2024-11-25,November,Monday,2024-11-25,2024-11-26
257,"Technical Test ""reverseBetween"" and ""restoreIpAddresses"" [LeetCode](https",LeetCode,2024-11-26,November,Tuesday,2024-11-26,2024-11-27
258,🏨 Hotel Booking System in Python 🛏️,Others,2024-11-27,November,Wednesday,2024-11-27,2024-11-28
259,📊 Data Processing Pipeline in Python 🐍,Others,2024-11-28,November,Thursday,2024-11-28,2024-11-29
260,🌌 Koch Curve Fractal in Python 🌊,Others,2024-11-29,November,Friday,2024-11-29,2024-11-30
261,⏳ Pomodoro Timer System in Python 🍅,Others,2024-11-30,November,Saturday,2024-11-30,2024-12-01
262,📈 Video Game Stocks Analysis[Kaggle](https,Data Scientist (Kaggle),2024-12-01,December,Sunday,2024-12-01,2024-12-02
263,"Technical Test ""inorderTraversal"" and ""generateTrees"" [LeetCode](https",LeetCode,2024-12-02,December,Monday,2024-12-02,2024-12-03
264,🛒 E-Commerce Shopping Cart in Python 🛍️,Others,2024-12-03,December,Tuesday,2024-12-03,2024-12-04
265,🏀 Basketball Injury Tracker in Python 🏥,Others,2024-12-04,December,Wednesday,2024-12-04,2024-12-05
266,📊 Collatz Conjecture Sequence Visualizer in Python 🌌,Others,2024-12-05,December,Thursday,2024-12-05,2024-12-06
267,🎯 Subset Sum to Target in Python 🧮,Others,2024-12-06,December,Friday,2024-12-06,2024-12-07
268,🛠️ Team Role Management System in Python 👥,Others,2024-12-07,December,Saturday,2024-12-07,2024-12-08
269,🏥 Medical Cost Personal Datasets Analysis,Data Scientist (Kaggle),2024-12-08,December,Sunday,2024-12-08,2024-12-09
270,Pose Estimation Project with Python 🤖,Others,2024-12-09,December,Monday,2024-12-09,2024-12-10
271,"Technical Test ""numTrees"" and ""isInterleave"" [LeetCode](https",LeetCode,2024-12-10,December,Tuesday,2024-12-10,2024-12-11
272,🔺 Pascal's Triangle Row Finder in Python 🔺,Others,2024-12-11,December,Wednesday,2024-12-11,2024-12-12
273,🏺 Mythical Characters Management System in Python 🐉,Others,2024-12-12,December,Thursday,2024-12-12,2024-12-13
274,🧪 Synthetic Data Generator in Python 🗃️,Others,2024-12-13,December,Friday,2024-12-13,2024-12-14
275,"Technical Test ""isValidBST"" and ""recoverTree"" [LeetCode](https",LeetCode,2024-12-14,December,Saturday,2024-12-14,2024-12-15
276,📊 Custom Dashboard Generator in Python 🖥️,Others,2024-12-15,December,Sunday,2024-12-15,2024-12-16
277,🌊 Koch Curve Visualization in Python 📈,Data Visualization,2024-12-16,December,Monday,2024-12-16,2024-12-17
278,User Story Management System in Python 📖,Others,2024-12-17,December,Tuesday,2024-12-17,2024-12-18
279,ETL Process with Python for SQL Server to PostgreSQL,Others,2024-12-18,December,Wednesday,2024-12-18,2024-12-19
280,"Technical Test ""isSameTree"" and ""isSymmetric"" [LeetCode](https",LeetCode,2024-12-19,December,Thursday,2024-12-19,2024-12-20
281,📝 Note-taking Application in Python 📓,Others,2024-12-20,December,Friday,2024-12-20,2024-12-21
282,💎 Diamonds [Kaggle](https,Data Scientist (Kaggle),2024-12-21,December,Saturday,2024-12-21,2024-12-22
283,🎄 Christmas Tree Generator in Python 🎅,Others,2024-12-22,December,Sunday,2024-12-22,2024-12-23
284,❄️ Snowfall Simulation in Python with Pygame ☃️,GUI,2024-12-23,December,Monday,2024-12-23,2024-12-24
285,🎄 Christmas Gift Manager in Python 🎁,Others,2024-12-24,December,Tuesday,2024-12-24,2024-12-25
286,"Technical Test ""levelOrder"" and ""zigzagLevelOrder"" [LeetCode](https",LeetCode,2024-12-25,December,Wednesday,2024-12-25,2024-12-26
287,"Technical Test ""levelOrder"" and ""zigzagLevelOrder"" [LeetCode](https",LeetCode,2024-12-26,December,Thursday,2024-12-26,2024-12-27
288,📊 Simple Math Visualizations with Python 📈,Data Visualization,2024-12-27,December,Friday,2024-12-27,2024-12-28
289,🎄 Recursive Advent Calendar in Python 🎁,Recursion,2024-12-28,December,Saturday,2024-12-28,2024-12-29
290,🏋️ Fitness Tracker in Python 📊,Others,2024-12-29,December,Sunday,2024-12-29,2024-12-30
291,🎄 Holiday Expense Tracker in Python 💰,Others,2024-12-30,December,Monday,2024-12-30,2024-12-31
292,🎉 Countdown Timer to New Year in Python 🎆,Others,2024-12-31,December,Tuesday,2024-12-31,2025-01-01
293,🏦 Family Budget Planner Application in Python 💰,Others,2025-01-01,January,Wednesday,2025-01-01,2025-01-02
294,"Technical Test ""maxDepth"" and ""BuildTree"" [LeetCode](https",LeetCode,2025-01-02,January,Thursday,2025-01-02,2025-01-03
295,🌌 Zodiac Sign Calculator in Python ♈️🐉,Others,2025-01-03,January,Friday,2025-01-03,2025-01-04
296,📦 Mail/Package Service Application in Python 📬,Others,2025-01-04,January,Saturday,2025-01-04,2025-01-05
297,💰 Optimal Coin Change in Python 💵,Others,2025-01-05,January,Sunday,2025-01-05,2025-01-06
298,🥭 Named Entity Recognition (NER) Model in Python 🧠,Others,2025-01-06,January,Monday,2025-01-06,2025-01-07
299,🪙 Coin Flip Simulation in Python 🎲,Others,2025-01-07,January,Tuesday,2025-01-07,2025-01-08
300,💰 Expense Splitter in Python 📊,Others,2025-01-08,January,Wednesday,2025-01-08,2025-01-09
301,"Technical Test ""isBalanced"" and ""minDepth"" [LeetCode](https",LeetCode,2025-01-09,January,Thursday,2025-01-09,2025-01-10
302,🍕 Pizza Drawing with Python Turtle 🎨,Others,2025-01-10,January,Friday,2025-01-10,2025-01-11
303,🧑‍💻 Job Notification Script in Python 📬,Others,2025-01-11,January,Saturday,2025-01-11,2025-01-12
304,🪙 Coin Game with Minimax Algorithm in Python 🎮,Games,2025-01-12,January,Sunday,2025-01-12,2025-01-13
305,🐦 Bird Study Service in Python 📚,Others,2025-01-13,January,Monday,2025-01-13,2025-01-14
306,🏀 Shooting Efficiency Tracker in Python 📊,Others,2025-01-14,January,Tuesday,2025-01-14,2025-01-15
307,"Technical Test ""hasPathSum"" and ""pathSum"" [LeetCode](https",LeetCode,2025-01-15,January,Wednesday,2025-01-15,2025-01-16
308,🎓 Grade Converter in Python 📊,Others,2025-01-16,January,Thursday,2025-01-16,2025-01-17
309,[Data Colombia,Others,2025-01-17,January,Friday,2025-01-17,2025-01-18
310,🍦 Ice Cream Combination Generator in Python 🍨,Others,2025-01-18,January,Saturday,2025-01-18,2025-01-19
311,🍳 NER for Recipe Extraction in Python 📜,Others,2025-01-19,January,Sunday,2025-01-19,2025-01-20
312,"Technical Test ""flatten"" and ""numDistinct"" [LeetCode](https",LeetCode,2025-01-20,January,Monday,2025-01-20,2025-01-21
313,📊 Advanced Sales Dashboard with Flask and Plotly,GUI,2025-01-21,January,Tuesday,2025-01-21,2025-01-22
314,🌍 Tourist Location NER (Named Entity Recognition) Project 🏛️,Others,2025-01-22,January,Wednesday,2025-01-22,2025-01-23
315,📦 Box Management System in Python 🗃️,Others,2025-01-23,January,Thursday,2025-01-23,2025-01-24
316,🎲 Coin Toss Sequences with Recursion,Recursion,2025-01-24,January,Friday,2025-01-24,2025-01-25
317,🩺 Diabetes Analysis and Prediction in Python 📊   [Diabetes Dataset on Kaggle](https,Data Scientist (Kaggle),2025-01-25,January,Saturday,2025-01-25,2025-01-26
318,"Technical Test ""generate"" and ""getRow"" [LeetCode](https",LeetCode,2025-01-26,January,Sunday,2025-01-26,2025-01-27
319,Basketball Warm-Up Routine Generator in Python,Others,2025-01-27,January,Monday,2025-01-27,2025-01-28
320,Car Price [Car Price Dataset on Kaggle](https,Data Scientist (Kaggle),2025-01-28,January,Tuesday,2025-01-28,2025-01-29
321,🤖 Generative AI with DeepSeek and GPT-2 in Python 🧠,Others,2025-01-29,January,Wednesday,2025-01-29,2025-01-30
322,🏀 Basketball Win-Loss Tracker in Python 🏆,Others,2025-01-30,January,Thursday,2025-01-30,2025-01-31
323,🎯 Intent Recognition System with BERT 🤖,Others,2025-01-31,January,Friday,2025-01-31,2025-02-01
324,🎬 Emotion Classifier in Text using Python 🧠,OOP,2025-02-01,February,Saturday,2025-02-01,2025-02-02
325,⚽ Football Match Outcome Predictor using Machine Learning 🤖,Data Scientist (Kaggle),2025-02-02,February,Sunday,2025-02-02,2025-02-03
326,✨ Simple Spell Checker with Dark Theme in Python 🖤,Others,2025-02-03,February,Monday,2025-02-03,2025-02-04
327,🧩 Maze Solver with Deep Learning in Python 🧠,Others,2025-02-04,February,Tuesday,2025-02-04,2025-02-05
328,👗 Fashion Image Classifier with TensorFlow 🖼️,Data Scientist (Kaggle),2025-02-05,February,Wednesday,2025-02-05,2025-02-06
329,"Technical Test ""minimumTotal"" and ""maxProfit"" [LeetCode](https",LeetCode,2025-02-06,February,Thursday,2025-02-06,2025-02-07
330,🏀 Basketball Play Generator with TensorFlow 🧠,Data Scientist (Kaggle),2025-02-07,February,Friday,2025-02-07,2025-02-08
331,📰 Topic Classifier with Scikit-learn and NLP 📊,OOP,2025-02-08,February,Saturday,2025-02-08,2025-02-09
332,🐱 Pet Database Management in Python 🐾,Others,2025-02-09,February,Sunday,2025-02-09,2025-02-10
333,🎭 Shakespeare Text Generator in Python 🖋️,Others,2025-02-10,February,Monday,2025-02-10,2025-02-11
334,🏋️ Muscle Fatigue Simulation in Python 💪,Others,2025-02-11,February,Tuesday,2025-02-11,2025-02-12
335,🤖 Intent Classifier for Messages using Python 🧠,OOP,2025-02-12,February,Wednesday,2025-02-12,2025-02-13
336,🐦 Twitter US Airline Sentiment Analysis [Twitter US Airline Sentiment Dataset on Kaggle](https,Data Scientist (Kaggle),2025-02-13,February,Thursday,2025-02-13,2025-02-14
337,🎯 Josephus Problem Solver in Python 🧮,Others,2025-02-14,February,Friday,2025-02-14,2025-02-15
338,🎳 Bowling Score Calculator in Python 🏆,Others,2025-02-15,February,Saturday,2025-02-15,2025-02-16
339,"Technical Test ""maxProfitll"" and ""maxProfitlll"" [LeetCode](https",LeetCode,2025-02-16,February,Sunday,2025-02-16,2025-02-17
340,👨‍💼 Employee Management System in Python 🏢,Others,2025-02-17,February,Monday,2025-02-17,2025-02-18
341,[Mall Customer Segmentation Data on Kaggle](https,Data Scientist (Kaggle),2025-02-18,February,Tuesday,2025-02-18,2025-02-19
342,🏥 MedNER,Others,2025-02-19,February,Wednesday,2025-02-19,2025-02-20
343,🌍 Travel Planner App in Python 🗺️,Others,2025-02-20,February,Thursday,2025-02-20,2025-02-21
344,🔒 Metadata Analysis Tool in Python 📂,Data Scientist (Kaggle),2025-02-21,February,Friday,2025-02-21,2025-02-22
345,🎮 Nim Game Solver in Python 🧠,Games,2025-02-22,February,Saturday,2025-02-22,2025-02-23
346,"Technical Test ""maxPathSum"" and ""isPalindrome"" [LeetCode](https",LeetCode,2025-02-23,February,Sunday,2025-02-23,2025-02-24
347,🌳 Tree Mirror in Python 🪞,Others,2025-02-24,February,Monday,2025-02-24,2025-02-25
348,📊 Data Visualization and Report Generation in Python 📈,Data Visualization,2025-02-25,February,Tuesday,2025-02-25,2025-02-26
349,Sales Data Analysis [Kaggle](https,Data Scientist (Kaggle),2025-02-26,February,Wednesday,2025-02-26,2025-02-27
350,🎳 Bowling League Manager in Python 🏆,Others,2025-02-27,February,Thursday,2025-02-27,2025-02-28
351,🔢 Recursive Number to Words Converter in Python 🧮,Recursion,2025-02-28,February,Friday,2025-02-28,2025-03-01
352,"Technical Test ""findLadders"" and ""findLaddersI"" [LeetCode](https",LeetCode,2025-03-01,March,Saturday,2025-03-01,2025-03-02
353,🔒 SSL Certificate Checker in Python 🌐,Others,2025-03-02,March,Sunday,2025-03-02,2025-03-03
354,🌐 WHOIS Lookup Tool in Python 🔍,Others,2025-03-03,March,Monday,2025-03-03,2025-03-04
355,🔥 Simple Firewall Application in Python 🛡️,Others,2025-03-04,March,Tuesday,2025-03-04,2025-03-05
356,🏀 Basketball Player Stats Analyzer in Python 🏀,Others,2025-03-05,March,Wednesday,2025-03-05,2025-03-06
357,🚗 Car Maintenance Tracker in Python 🛠️,Others,2025-03-06,March,Thursday,2025-03-06,2025-03-07
358,🏗️ Pyramid Block Counter and Visualizer in Python 🧱,Others,2025-03-07,March,Friday,2025-03-07,2025-03-08
359,🌹 International Women's Day Tribute with Python Turtle 🐢,Others,2025-03-08,March,Saturday,2025-03-08,2025-03-09
360,"Technical Test ""longestConsecutive"" and ""sumNumbers"" [LeetCode](https",LeetCode,2025-03-09,March,Sunday,2025-03-09,2025-03-10
361,🔒 Web Application Security Scanner in Python 🛡️,Web Development,2025-03-10,March,Monday,2025-03-10,2025-03-11
362,🛒 Price Notifier System in Python 💰,Others,2025-03-11,March,Tuesday,2025-03-11,2025-03-12
363,📅 Recursive Calendar Generator in Python 🗓️,Recursion,2025-03-12,March,Wednesday,2025-03-12,2025-03-13
364,🔐 Caesar Cipher GUI in Python 🖥️,GUI,2025-03-13,March,Thursday,2025-03-13,2025-03-14
365,🏀 Basketball Shot Clock in Python ⏱️,Others,2025-03-14,March,Friday,2025-03-14,2025-03-15
366,,Others,2025-03-15,March,Saturday,2025-03-15,2025-03-16
